20 0.00
40 0.00
60 0.00
80 0.01
100 0.01
120 0.03
140 0.04
160 0.05
180 0.08
200 0.10
220 0.14
240 0.17
260 0.22
280 0.28
300 0.33
320 0.41
340 0.52
360 0.57
380 0.66
400 0.77
