x linterp linterpInteg
2.22 -0.587884 0.764546
2.23 -0.596961 0.758713
2.24 -0.606038 0.752789
2.25 -0.615115 0.746774
2.26 -0.624193 0.740668
2.27 -0.63327 0.734471
2.28 -0.642347 0.728184
2.29 -0.651424 0.721806
2.3 -0.660501 0.715337
2.31 -0.669578 0.708777
2.32 -0.678655 0.702127
2.33 -0.687732 0.695386
2.34 -0.693405 0.688554
2.35 -0.697375 0.681648
2.36 -0.701345 0.674694
2.37 -0.705315 0.667701
2.38 -0.709285 0.660667
2.39 -0.713255 0.653594
2.4 -0.717225 0.646482
2.41 -0.721195 0.639329
2.42 -0.725165 0.632137
2.43 -0.729135 0.624905
2.44 -0.733105 0.617634
2.45 -0.737075 0.610323
2.46 -0.741045 0.602972
2.47 -0.745015 0.595581
2.48 -0.748985 0.588151
2.49 -0.752955 0.580681
2.5 -0.756925 0.573171
2.51 -0.760895 0.565622
2.52 -0.764865 0.558033
2.53 -0.768835 0.550404
2.54 -0.772805 0.542735
2.55 -0.776775 0.535027
2.56 -0.780745 0.527279
2.57 -0.784715 0.519492
2.58 -0.788685 0.511664
2.59 -0.792655 0.503797
2.6 -0.796625 0.495891
2.61 -0.800595 0.487944
2.62 -0.804565 0.479958
2.63 -0.808535 0.471933
2.64 -0.812505 0.463867
2.65 -0.816475 0.455762
2.66 -0.820445 0.447617
2.67 -0.824415 0.439432
2.68 -0.828385 0.431208
2.69 -0.832355 0.422944
2.7 -0.836325 0.41464
2.71 -0.840295 0.406297
2.72 -0.844265 0.397914
2.73 -0.848235 0.389491
2.74 -0.852205 0.381029
2.75 -0.856175 0.372526
2.76 -0.860145 0.363984
2.77 -0.864115 0.355403
2.78 -0.868085 0.346782
2.79 -0.872055 0.338121
2.8 -0.876025 0.32942
2.81 -0.879995 0.320679
2.82 -0.883965 0.311899
2.83 -0.887935 0.30308
2.84 -0.891905 0.29422
2.85 -0.895875 0.285321
2.86 -0.899845 0.276382
2.87 -0.903815 0.267403
2.88 -0.907784 0.258385
2.89 -0.911754 0.249327
2.9 -0.915724 0.240229
2.91 -0.919694 0.231092
2.92 -0.923664 0.221915
2.93 -0.927634 0.212698
2.94 -0.931604 0.203442
2.95 -0.935574 0.194145
2.96 -0.939544 0.18481
2.97 -0.943514 0.175434
2.98 -0.947484 0.166019
2.99 -0.951454 0.156564
3 -0.955424 0.147069
3.01 -0.959394 0.137535
3.02 -0.963364 0.12796
3.03 -0.967334 0.118347
3.04 -0.971304 0.108693
3.05 -0.975274 0.099
3.06 -0.979244 0.0892671
3.07 -0.983214 0.0794945
3.08 -0.987184 0.0696822
3.09 -0.991154 0.0598302
3.1 -0.995124 0.0499385
3.11 -0.999094 0.0400071
3.12 -0.996495 0.0300361
